Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
CHEDDARxDUDEx,1,6,5,6.0
CHEEK587,1,11,8,11.0
CHEESE MAN50a0,1,1,1,1.0
CHEESEPOOF,3,69,5,23.0
CHEEZBURGEROp74,1,5,4,5.0
CHEEZYSPiNE,4,51,6,12.75
CHENCHO FORCE,1,7,3,7.0
CHENZO0,1,3,3,3.0
CHESARE 1,1,12,5,12.0
CHEWBACCA NFG,1,9,6,9.0
CHG47,1,15,5,15.0
CHICO JR,3,23,11,7.67
CHICOizHERE,1,10,4,10.0
CHIEF SMOKEM49,2,9,5,4.5
CHIEF TCEG,1,4,1,4.0
CHIEFROCKA310,1,9,5,9.0
CHIEFSHAKATOOL,1,3,3,3.0
CHIEFTAIN64,1,17,3,17.0
CHIKKA BE FININ,1,8,3,8.0
CHILL PINOY,1,11,4,11.0
CHILLED MAGE,1,6,5,6.0
CHINA BLOWS 187,1,32,12,32.0
CHINITO117,1,13,7,13.0
CHINO GOUTS,1,4,4,4.0
CHIP FROM MASS,1,13,6,13.0
CHITownSheff23,1,23,12,23.0
CHIVES 24,1,7,6,7.0
CHLegacyy,1,7,3,7.0
CHO23N ONE,2,13,7,6.5
CHOKE421,2,26,5,13.0
CHOPSTICKSZ,1,6,5,6.0
CHR0N0CID3,1,12,5,12.0
CHR0N1KZ,1,14,8,14.0
CHRIS AK 907,3,34,7,11.33
CHRIS M1 1911,1,10,7,10.0
CHRIS is BEAR,1,6,6,6.0
CHRIS673,1,8,6,8.0
CHRISC121,1,11,8,11.0
CHRISDOG87,1,23,6,23.0
CHRISPY93,1,5,4,5.0
CHRISTIANFC0007,1,13,7,13.0
CHRISTIANxBLAZE,1,16,12,16.0
CHROMEDCLOVER92,1,12,4,12.0
CHRONIC COUG,1,8,6,8.0
CHRYSOPOElA,1,3,2,3.0
CHRiS71194,1,3,3,3.0
CHS Laggy,1,1,1,1.0
CHS Superbeast,1,26,9,26.0
CHU WONT,2,12,8,6.0
CHUBSatCOSTCO,1,16,12,16.0
CHUBY SPARTAN,1,5,4,5.0
CHUBrub69,137,1388,73,10.13
CHUCK D GRUNT,2,53,19,26.5
CHUCK N0 RISK,1,50,18,50.0
CHUCK N0rice,1,8,4,8.0
CHUCK PHILLY,1,24,11,24.0
CHUGLETTE MILK2,1,4,3,4.0
CHUK NORS,1,11,10,11.0
CHUNK DA DEUCE,7,87,26,12.43
CHUPA17,1,6,4,6.0
CHUPASE,1,8,7,8.0
CHZ Carnage,1,13,7,13.0
CHaR 2the LeEee,2,17,9,8.5
CHaRLeYx,1,15,10,15.0
CHaRiizMa,1,7,4,7.0
CHeCKMaT3 xX,3,46,13,15.33
CHeLox12,2,20,9,10.0
CHiCKEN LiiTTLE,1,13,7,13.0
CHiLLiN WuZ GuD,1,8,3,8.0
CHiLLiNxKiLLiNx,1,8,5,8.0
CHlPMAN64,4,25,9,6.25
CI SII John 117,60,920,74,15.33
CIA Snitch,2,70,23,35.0
CIAEmmanuel8,1,1,1,1.0
CIASpook,1,4,4,4.0
CIEN x ERIOS117,1,17,12,17.0
CIENCIAS,1,2,2,2.0
CIG Holy Knight,1,6,4,6.0
CIG Tel,1,10,7,10.0
CIRKUX,1,7,4,7.0
CITRION GG,1,1,1,1.0
CIVIL KID,1,25,7,25.0
CIenbuterol,3,38,6,12.67
CIutch ArtisT,1,4,2,4.0
CJ 117,2,39,17,19.5
CJ ABC Carmine,3,23,11,7.67
CJ RULZZ,1,5,4,5.0
CJ Randall,1,5,3,5.0
CJ TheReclaimer,10,60,13,6.0
CJ1586,1,7,7,7.0
CJ700,1,17,7,17.0
CJ78907,1,9,3,9.0
CJM3407,1,14,8,14.0
CJSWANG305,1,4,2,4.0
CJUNIORTAIGUARA,1,19,10,19.0
CJV 15,2,12,7,6.0
CJjones02,1,3,2,3.0
CJoyce2017,2,41,14,20.5
CJrocks117,1,21,12,21.0
CJxR3APERx,1,5,3,5.0
CK is a BK,1,1,1,1.0
CKGxSLAYER,1,12,5,12.0
CKR123,1,25,6,25.0
CKnight011,2,21,6,10.5
CL Alaba l2l,3,73,25,24.33
CL Chaos,2,11,7,5.5
CL CokiMemol27l,1,1,1,1.0
CL Dann l55l,3,118,35,39.33
CL Roy,4,65,18,16.25
CL0CKW1ZE,1,9,5,9.0
CL0UD 0NE,2,21,11,10.5
CL4P 117,1,4,3,4.0
CLAB TRAB,2,17,8,8.5
CLAMISTHEGO4T,1,6,4,6.0
CLAN SNIPER117,1,9,3,9.0
CLARKSON1221115,1,5,4,5.0
CLASSIC2089,1,2,1,2.0
CLASSY SNOOKI,1,8,6,8.0
CLAXboyFU,1,4,3,4.0
CLERIC 187,1,11,6,11.0
CLERlC,1,8,4,8.0
CLETUSSKYLOM666,1,13,8,13.0
CLG Lethul,1,10,4,10.0
CLINETIME99,1,15,9,15.0
CLONEUFC,1,18,9,18.0
CLOROX BLEACH10,1,1,1,1.0
CLOUD213jose,1,5,4,5.0
CLOUD9 FOR DAYZ,1,5,3,5.0
CLOVR,1,3,3,3.0
CLUTCHMVNMVRCUS,3,11,6,3.67
CLiCKiN STiiCKS,2,21,5,10.5
CLintin2,1,12,7,12.0
CLippzZzZz,1,3,2,3.0
CLlNT THRUST,1,1,1,1.0
CLyde FROG l,1,4,4,4.0
CMCPredatorV2,1,21,8,21.0
CMD LASKY,1,15,10,15.0
CMD SnIp OoO114,1,12,8,12.0
CMDR Trevor,1,10,7,10.0
CMONIES2,2,30,16,15.0
CMOONEY86,1,29,9,29.0
CMWEAVE,1,13,4,13.0
CMurder31,1,17,10,17.0
CN BALLER 22,2,8,5,4.0
CN FRosTT,2,60,22,30.0
CN STeeL,2,29,13,14.5
CNII Fizz,2,39,17,19.5
CNRL,1,13,6,13.0
CNTBBEAT,1,14,7,14.0
CNoEviL69,2,18,6,9.0
CNope,7,49,24,7.0
CO Connoisseur7,3,33,10,11.0
CO HDVA,1,7,7,7.0
CO Rickster,1,12,7,12.0
CO beak3r,1,3,2,3.0
CO nijels,1,2,2,2.0
COACH OMGuyver,1,20,10,20.0
COASTVL,5,37,10,7.4
COB GuNnEr,3,28,9,9.33
COBB1337,1,17,12,17.0
COCHELA MAN,2,33,8,16.5
COCNOP,1,5,5,5.0
COCO L1,1,32,17,32.0
COCO775,1,7,6,7.0
COD GOD ROCKS,1,6,2,6.0
COD II Elite,1,10,8,10.0
COD3IN3 N L3AN,1,4,3,4.0
CODE CCG,2,9,5,4.5
CODY43,1,2,1,2.0
COE ALEX,4,58,9,14.5
COE DARKMAX,1,8,3,8.0
COE FISNEO,1,16,8,16.0
COFE EL CHANGO,1,13,7,13.0
COG Capone,1,2,2,2.0
COG Commander18,1,3,3,3.0
COG Cpt Twinkls,1,1,1,1.0
COG DR3GGZ,1,4,3,4.0
COG Delloid,1,5,5,5.0
COG Golden,4,48,5,12.0
COG Integrity,2,45,19,22.5
COG Jalymo,2,24,7,12.0
COG LOTUS,3,20,7,6.67
COG M3ATY,1,10,3,10.0
COG POPPADUPREE,6,52,23,8.67
COG ProXVenom,1,2,1,2.0
COG Sparda,1,1,1,1.0
COG Streetlawz,1,11,7,11.0
COG THREAT,7,77,17,11.0
COG Wolfen2o7,1,3,1,3.0
COGxILLu510nZ,1,21,3,21.0
COIVIVECTING,1,15,7,15.0
COKEMONCHO,1,4,3,4.0
COL Frenetic z,1,9,6,9.0
COLD BlOOD66,1,11,4,11.0
COLDHEART11,1,14,5,14.0
COLE BLO0DED,1,25,7,25.0
COLLEC NEVULA,1,9,8,9.0
COLOMBI4NBAMBAM,1,5,3,5.0
COLONEL CRUNCH6,2,40,14,20.0
COLONELxDUCKY,1,2,1,2.0
COLTDUDE,2,9,4,4.5
COMANDOxKICKASS,1,10,8,10.0
COMBATGLITCH216,1,3,1,3.0
COMBO BREAKER 4,1,11,7,11.0
COME TACOS562,1,17,6,17.0
COMFORTS BR,7,48,14,6.86
COMMANDERxDUCKY,3,34,10,11.33
COMMON GRIINCH,1,22,5,22.0
COMPAN1ON CUB3,1,23,15,23.0
COMRAD VOLCLOF,1,6,5,6.0
CON3Z,1,4,4,4.0
CONCRETE SAVAGE,1,9,4,9.0
CONE BREAD FED,1,5,5,5.0
CONFORMlTY,2,44,19,22.0
CONKERBL00D,1,4,4,4.0
CONKEROTRON45,1,18,16,18.0
CONMAN THE COLD,1,12,4,12.0
CONMON99,1,53,16,53.0
CONNOR 87 7,1,16,6,16.0
CONTENDER XI,2,22,6,11.0
CONscious K,1,2,1,2.0
COOKI3D0UGH,1,10,2,10.0
COOKIEDOUGH804,1,13,5,13.0
COOKIEE M0NSTAS,1,27,11,27.0
COOLGERARDO21,1,2,2,2.0
COOPERisboss12,1,9,3,9.0
COOPN8R,1,20,4,20.0
COOPS105,1,7,7,7.0
COPE MINT PROBZ,1,15,11,15.0
COPEMELO,1,2,2,2.0
COPEisDOPE,1,10,8,10.0
CORN XxEniGmAxX,1,5,4,5.0
CORNWHOLEWALLIS,1,3,1,3.0
CORRGSONDECK69,1,1,1,1.0
CORRUPTxTITAN,1,16,9,16.0
CORYKI11A,1,9,5,9.0
COSMOLAND,1,22,8,22.0
COTE TWO,1,6,4,6.0
COTTONI MOUTHI,1,11,7,11.0
COUGHEE N DRANK,1,1,1,1.0
COUNT SCOTULA,1,16,8,16.0
COVERT SnPr,5,14,7,2.8
COVHUNTER94,1,2,2,2.0
COVRfire4TORQZZ,1,9,5,9.0
COWBOY4L1FE,1,10,3,10.0
COWxAvenged,1,19,10,19.0
CP Heretic,1,16,8,16.0
CP Spartankler,1,20,9,20.0
CPG Green Beret,1,4,4,4.0
CPLx MLGAlerted,4,68,12,17.0
CPLxSlayer,1,9,6,9.0
CPQ God,2,32,17,16.0
CPT Cl3an Up,2,12,5,6.0
CPT Kangaroooo2,2,17,11,8.5
CPT Kangarooooo,1,10,6,10.0
CPT MACmELEN,1,11,4,11.0
CPT P0NCHO,1,31,11,31.0
CPT SKYWALKER,1,5,1,5.0
CPT ZOMB AIDE,1,10,8,10.0
CPU BIFLAR,1,20,5,20.0
CPU CaNiixX,2,18,8,9.0
CPU KOMBAI,1,8,2,8.0
CPU Pr0M3TaLiK,1,5,4,5.0
CPU Raoul,1,12,6,12.0
CPU lucky,1,24,6,24.0
CQ180,2,31,12,15.5
CQueroo,1,12,8,12.0
CR Sil3nT,1,20,9,20.0
CR00M00,1,6,4,6.0
CR00klyn93,5,44,14,8.8
CR0SBYblows,1,15,7,15.0
CR0WS11,1,15,8,15.0
CR130257,1,3,2,3.0
CR1MS0NDR4G0NS,1,22,8,22.0
CR1MSON DEV1L,2,14,6,7.0
CR33CH3,1,10,6,10.0
CR4NKYFR4GM4N,1,10,7,10.0
CR4PW1THC4UT10N,1,12,3,12.0
CR4ZY RIDA,1,14,6,14.0
CR4ZY SH00T3R a,4,15,6,3.75
CRAAAASH,1,10,6,10.0
CRABHAMM3R,1,21,6,21.0
CRABPEOPLE1112,1,6,3,6.0
CRACK hUnThEr D,1,9,6,9.0
CRACKY 4,1,11,3,11.0
CRAIG NEMESIS,1,4,3,4.0
CRAIG1911,1,10,5,10.0
CRAIGERS21,1,13,5,13.0
CRASH WL,5,47,17,9.4
CRATEDIGGIN420,1,4,3,4.0
CRATOS72,1,1,1,1.0
CRAZED 3,26,93,17,3.58
CRAZEECABOOSE12,1,8,3,8.0
CRAZIE BRAINZ,1,13,6,13.0
CRAZY BOB213,1,15,10,15.0
CRAZY LATINO ES,1,8,7,8.0
CRAZY PANDA47,1,2,2,2.0
CRAZY Turte1,2,8,4,4.0
CRAZYASIAN3716,1,4,3,4.0
CRAZYBEARSFAN98,1,7,6,7.0
CRAZYEYES696979,1,5,3,5.0
CRAZYKILL v2,1,2,2,2.0
CRAZYKING276,2,4,3,2.0
CRAZYLATINS312,1,3,3,3.0
CRAZYMONKEY458,1,32,14,32.0
CRAZYNUTS117,1,6,4,6.0
CRAZYREVELATION,1,19,3,19.0
CRAZYxKILLERMAN,1,9,5,9.0
CRBK051210,1,9,1,9.0
CREAKYKNEEZ,1,4,3,4.0
CREEP 77,1,8,6,8.0
CREEPER 85,1,2,2,2.0
CREEPER G 108,1,14,6,14.0
CREEPYKILLER62,1,1,1,1.0
CREPTIK,1,5,5,5.0
CREUZY,2,7,2,3.5
CREWDOG121280,1,2,2,2.0
CREeaToRs,1,13,4,13.0
CRIMSON PH0ENIX,2,22,9,11.0
CRIMSON WOLF753,1,2,2,2.0
CRISARI0,1,5,5,5.0
CRISPYdoota,1,9,8,9.0
CRISTIAMUZ,1,14,11,14.0
CRISTIAN11798,1,18,7,18.0
CRITIUSFENIX,1,27,17,27.0
CRIXUS 421,1,8,8,8.0
CRONICK IZ A OG,1,9,5,9.0
CRONOROBERTO,1,8,3,8.0
CROWD K3,1,5,4,5.0
CROWLikes2CHEAT,10,234,17,23.4
CROwnage,1,16,7,16.0
CRUMP0CALYPSE,1,17,5,17.0
CRUNCHYBOXmmmmm,1,1,1,1.0
CRUSHAsaurasREX,1,6,6,6.0
CRUSIFIXSSO,1,14,8,14.0
CRWSHER,1,17,7,17.0
CRWs Besouro,1,17,8,17.0
CRWs R4fael,1,9,3,9.0
CRYINGPIEMAAN,1,6,3,6.0
CRYSISjt117,1,12,10,12.0
CRaZY ConeZED,2,22,4,11.0
CRaZY GolBoTz,1,11,8,11.0
CRaZY Kannibal2,1,6,2,6.0
CRaZyAmBu5H,2,50,18,25.0
CRazY liEs,1,13,7,13.0
CRiMsON 31,3,25,14,8.33
CRiT is BacK,1,4,3,4.0
CRiTiCAL iTALY,1,3,3,3.0
CRiTiiCaL,12,144,25,12.0
CRlMSON EXODUS,1,21,10,21.0
CRob240,3,52,22,17.33
CRuDeR 34u,1,27,11,27.0
CRuss24,1,8,5,8.0
CSB UK83,1,6,6,6.0
CSG F4T4L,1,25,13,25.0
CSG KILLA619,1,9,7,9.0
CSG Squidz,1,20,12,20.0
CSG UndeadProxy,1,10,7,10.0
CSG Z0MB1E,1,7,6,7.0
CSI GamerTag,1,3,3,3.0
CSI Sheep,1,16,3,16.0
CSM AdventChaos,2,18,5,9.0
CT DARKASSASSIN,1,3,3,3.0
CT Shnoon,1,7,6,7.0
CTFLegacy,1,2,2,2.0
CTG M1SS BOSS,1,3,3,3.0
CTG1093,1,2,2,2.0
CTRL ALT DLeeTu,1,39,13,39.0
CUK,1,7,6,7.0
CULATR,1,7,6,7.0
CUPCAKE0920,1,1,1,1.0
CUPGM1,1,4,2,4.0
CUPS WIT DA ICE,1,9,5,9.0
CUR5ED WARRIOR,2,16,7,8.0
CUZ KO kidd,1,12,10,12.0
CVGMACUS118,1,5,5,5.0
CVN Ivan BR,1,3,3,3.0
CVThe Tube,1,9,7,9.0
CW Blackout,1,12,7,12.0
CW HighestRay,2,17,9,8.5
CWA DANK RIPz,1,7,6,7.0
CWL88,1,6,3,6.0
CWaka,1,22,14,22.0
CY3ERG,1,6,5,6.0
CYB3R J4Y,1,7,7,7.0
CYBEDIUS,1,1,1,1.0
CYBER RAI,2,21,10,10.5
CYBORGSHARK1998,1,1,1,1.0
CYBORGSQUIRREL8,1,9,5,9.0
CYGUNNNS BLAZIN,1,7,4,7.0
CYN1CS,1,8,5,8.0
CZAR7LVFT10,1,10,4,10.0
Ca11 M3 CEEG,1,1,1,1.0
Ca11MeDiesel,1,4,3,4.0
Ca11opi,1,4,3,4.0
Ca9,1,10,5,10.0
CaBeY Da BaBy,1,10,4,10.0
CaBeZa De C0C0,1,11,7,11.0
CaBoose9911,3,22,13,7.33
CaEdZeVa,1,3,1,3.0
CaII Me Caboose,2,12,8,6.0
CaIIMeTheKing,2,16,7,8.0
CaImplex,1,12,7,12.0
CaL911UNeedHelp,1,15,5,15.0
CaLL Me SiiiicK,3,24,5,8.0
CaLL Me iShocK,4,74,8,18.5
CaLL MeH Rey,2,14,6,7.0
CaLLMeViioLeT,1,18,7,18.0
CaLi DazeD,2,13,10,6.5
CaLibRaTi0N,4,34,7,8.5
CaMello MoUth X,2,24,13,12.0
CaMiLo37,3,20,8,6.67
CaNalesXxxX,2,21,11,10.5
CaNdErSizHurR,2,34,11,17.0
CaNeXofXPaiN,1,4,4,4.0
CaPnMoFoCruNch,1,16,7,16.0
CaPtAiN BakSmaK,1,4,1,4.0
CaPtaiNKaLu,1,10,3,10.0
CaRdFaNaTiC11,1,1,1,1.0
CaRlo0zzT,1,2,1,2.0
CaRmInE5246,1,11,4,11.0
CaRp1922,1,12,9,12.0
CaRx IVIine,2,54,9,27.0
CaStiLLoNN,5,20,8,4.0
CaTAsTRoPHic90,1,4,2,4.0
CaTaClYsM BoSs,1,8,7,8.0
CaTsniper89,2,17,7,8.5
CaVac0,1,10,6,10.0
Caaaain,1,16,7,16.0
Caavalry,1,9,5,9.0
CabaggeInMyMuff,1,8,3,8.0
Cabeo,1,3,3,3.0
CabinetCupid991,5,31,13,6.2
Cable13,1,9,6,9.0
CaboBobbo,2,16,8,8.0
Caboose00USAF,1,12,7,12.0
Caboose1744,2,5,4,2.5
CabooseLinux,1,11,5,11.0
CabooseOne,18,95,25,5.28
Caboozel,1,13,4,13.0
Cabraham74,6,22,11,3.67
CacaNunu Lord,1,20,6,20.0
CacheuxP6,1,25,12,25.0
Cacus911,1,5,2,5.0
Cadavarous,4,12,9,3.0
Caddeyshack,1,1,1,1.0
Cade 13x,1,7,5,7.0
Cadenjh,2,19,13,9.5
Cadgi,1,10,5,10.0
Cado,3,41,14,13.67
CaeKing,1,7,2,7.0
Caedric Borne,15,105,22,7.0
Cafe,4,28,11,7.0
Cafe Fraiche757,2,33,11,16.5
CafeRampBR,1,18,11,18.0
Caged,1,2,2,2.0
CagierCobra,8,43,15,5.38
CagiestHoney209,1,23,11,23.0
Cags Cagley,1,9,2,9.0
Cahmacho,1,29,8,29.0
Cahmaro,1,18,6,18.0
Cahstiel,1,6,6,6.0
CaioC17,1,2,2,2.0
Cak3Baker,1,15,8,15.0
Cake0991,1,5,4,5.0
CakemanDan,1,21,10,21.0
CakepopCylon,1,10,7,10.0
Cal is king,1,5,4,5.0
CalPal348,1,2,2,2.0
CalTownBeatDown,1,4,2,4.0
Calcetin Frio,2,21,9,10.5
Calderon9999,1,3,3,3.0
Caldwellx,6,40,7,6.67
Caleb Locke,1,2,1,2.0
Caleb The One,2,10,4,5.0
Caleb1911,1,1,1,1.0
Calebandero,1,25,10,25.0
CalexXxBowtie,1,15,7,15.0
CaliCutthroat11,1,8,6,8.0
CaliRippinIt420,1,7,5,7.0
Calibre2005,1,5,3,5.0
Calico JP,1,11,9,11.0
California Cuzz,1,7,6,7.0
California FPS,1,2,2,2.0
Calina12,1,10,6,10.0
Caliz5nest,1,5,5,5.0
Call 2 The Outs,5,34,7,6.8
Call Me Axel,1,9,5,9.0
Call Me Cheify,1,12,6,12.0
Call Me Dash,1,21,7,21.0
Call Me Kaoz,2,30,15,15.0
Call Me MoonMan,1,14,3,14.0
Call Me Ogre,1,9,7,9.0
Call Me Potatos,1,14,11,14.0
Call Me Thai,1,2,2,2.0
Call Meh Cash,1,9,7,9.0
Call Meh Heiser,5,84,9,16.8
Call911iOwnedu,1,5,3,5.0
CallMe NitePain,1,20,5,20.0
CallMeBigPoppa,1,7,6,7.0
CallMeBiggyT,2,32,14,16.0
CallMeCandyland,1,16,8,16.0
CallMeMiffed,2,13,9,6.5
CallMeNasty06,1,11,6,11.0
CallMeTooGood,1,7,4,7.0
CallMeWinks,3,39,12,13.0
CallMehClutch,16,90,16,5.62
CallMehCrazy26,6,48,18,8.0
Called It,1,14,6,14.0
CalledGibbon1,1,9,5,9.0
CalledIsland607,1,7,5,7.0
Callidus Orsus,1,34,14,34.0
CalllMehFear,6,22,7,3.67
Callous Saviour,2,22,4,11.0
Callum 116,1,13,7,13.0
Callumpy,1,15,4,15.0
Calm Raccoon,1,11,8,11.0
CalmWalker38,1,18,12,18.0
CalmlyElevated,1,40,17,40.0
Calmstorm37,1,2,2,2.0
Calsepher1,2,22,5,11.0
Calwon25,3,42,17,14.0
Cam Cane SWAG,1,1,1,1.0
Cam Handsome,1,21,9,21.0
Cam Pynn,2,27,8,13.5
CamCol2,1,14,9,14.0
CamPayne22,5,23,8,4.6
CamRon Zer0,5,36,15,7.2
CamRoyal,1,8,6,8.0
CamSavage9,1,2,2,2.0
CamTheMan36,1,17,12,17.0
CamTrademark,2,23,11,11.5
Camaro MC,1,6,6,6.0
Cambodians,1,8,6,8.0
CamdSSftw,1,13,5,13.0
Camdrone797,1,24,5,24.0
CameInTheBack03,1,22,9,22.0
CamelScroll9926,9,62,17,6.89
CameleonPoeme15,1,10,6,10.0
Camelkud14,1,12,7,12.0
Camericano,1,3,3,3.0
Camerocity,2,24,2,12.0
Cameron Himself,4,29,8,7.25
CameroniNCheese,1,5,5,5.0
Camilo Chile,3,46,10,15.33
Camilo13xdgx,1,1,1,1.0
Camiloot,1,3,3,3.0
Camino94,1,8,3,8.0
Camleez,1,14,9,14.0
Cammy ooo lala,1,36,12,36.0
Cammy067,1,7,6,7.0
Camology,1,18,9,18.0
Camonized,1,22,9,22.0
Camonox,11,142,12,12.91
Camonox Two,2,24,6,12.0
Camoz326,1,16,4,16.0
Camp3rsParadis3,1,4,1,4.0
Campeeto,3,25,10,8.33
Camper dF,1,11,6,11.0
CampioneZero91,1,4,1,4.0
Camy Long,1,7,2,7.0
Can Has Stuff,1,15,7,15.0
Can You Reach,1,11,4,11.0
CanDy BuiCk,1,6,5,6.0
CanOpenerInACan,1,17,9,17.0
CanTouchTheTopN,2,32,8,16.0
CanYouSenile,1,10,4,10.0
CanabinoidKillr,1,11,9,11.0
CanabisComatose,2,47,16,23.5
Canaboll,1,14,7,14.0
Canada NOOB,5,102,11,20.4
CanadainFighter,1,7,3,7.0
CanadanKamikaze,2,8,5,4.0
Canadian Climax,1,22,10,22.0
Canadian Radass,1,3,1,3.0
Canadian13ear,1,11,3,11.0
CanadianMerc665,2,5,4,2.5
CanadianSoul420,2,8,4,4.0
CanadianTrent,2,29,5,14.5
Canalez,1,7,6,7.0
Canasian546,1,7,5,7.0
Candid Assassin,10,118,9,11.8
CandyJR10,1,11,6,11.0
CandyKillerCRO,4,22,8,5.5
CaneIlo,1,4,2,4.0
Caned N Unable,1,32,9,32.0
Canine168,1,11,8,11.0
CanineKCkaan63,2,2,2,1.0
CanineNewt5093,1,7,3,7.0
CanisPastor,1,6,1,6.0
Canlos Man,1,23,14,23.0
CannedMeatballs,2,7,6,3.5
Canniba1Burg3r,2,18,8,9.0
CannibaI lrish,4,49,24,12.25
CannibalShinobi,1,24,6,24.0
Canniballistic,1,11,9,11.0
CannonAssult,1,6,6,6.0
CannonBall1025,1,6,2,6.0
CannyChota Don,1,24,4,24.0
Canowolf,1,2,2,2.0
Cantrell300,1,1,1,1.0
Cantstop918,2,11,11,5.5
Caos Jaeger,1,5,4,5.0
Cap Gustavo,1,8,7,8.0
CapBuster,1,5,5,5.0
CapN Cook1738,1,2,2,2.0
CapT Piecies,1,12,6,12.0
CapThisFlag,1,21,9,21.0
Capabl3Nick3l1,1,3,2,3.0
CapeClaw,1,13,2,13.0
Capeeky,1,10,9,10.0
Caperucho182,2,32,8,16.0
Capitan Late,3,48,13,16.0
Capitan Pillama,1,4,4,4.0
Capitan Wamik,2,23,11,11.5
CapitoI,1,16,7,16.0
CapityPrime,4,13,8,3.25
Capn Banz,2,8,5,4.0
Capn Swiss,2,21,14,10.5
CapnGummy,1,6,4,6.0
CapnMeliodas,3,69,16,23.0
CapnOfCrunch777,1,10,5,10.0
CapnPJ,1,8,8,8.0
Capofila,2,15,2,7.5
Cappin Slippery,2,4,4,2.0
Cappism 2,4,46,13,11.5
Capricornrunner,1,3,3,3.0
Caps Panda,1,8,4,8.0
CapsuleSpark37,1,20,8,20.0
Capt Hawk3ye91,1,7,4,7.0
Capt Hennessy,1,6,5,6.0
Capt J Maverick,1,7,4,7.0
Capt Krunch011,2,11,9,5.5
Capt M0RGAN9,1,18,7,18.0
Capt Maniac,1,12,7,12.0
Capt McSwaggins,1,16,4,16.0
Capt N DeAz,2,35,15,17.5
Capt Rex 513,1,2,2,2.0
Capt SPACEcadet,1,10,6,10.0
Capt Yesterday,1,8,6,8.0
Capt laZers,16,188,27,11.75
Capt n Combat,1,2,2,2.0
CaptAdrenalin,4,41,16,10.25
CaptDoubleBlade,1,16,11,16.0
CaptMorgan2319,1,16,5,16.0
CaptPajamaPants,1,25,8,25.0
CaptSmiles08,1,6,4,6.0
CaptTrippy00,1,7,5,7.0
CaptYell0wShirt,1,13,7,13.0
Capta1nMorgan07,1,8,7,8.0
Captain Chin32,1,1,1,1.0
Captain Fant4sy,1,13,8,13.0
Captain JLG,1,5,2,5.0
Captain Keeez,1,21,13,21.0
Captain Kirk009,4,54,23,13.5
Captain Kreka,1,2,2,2.0
Captain Legend7,1,3,3,3.0
Captain Leland,1,21,12,21.0
Captain Lue,1,1,1,1.0
Captain NoPants,1,6,4,6.0
Captain P1anted,1,19,9,19.0
Captain P3w P3w,1,37,8,37.0
Captain Perkis,2,22,10,11.0
Captain Sarge,1,14,9,14.0
Captain Spasms,1,27,8,27.0
Captain TikyTok,1,2,1,2.0
Captain UVA,2,16,7,8.0
Captain Unami,1,13,8,13.0
Captain Zapp B,1,6,5,6.0
Captain of Hog,1,13,8,13.0
Captain1555,1,6,5,6.0
CaptainAdrianE,1,2,2,2.0
CaptainAhab1991,1,4,1,4.0
CaptainAhab21,1,10,8,10.0
CaptainBranagan,1,13,7,13.0
CaptainCashew07,1,6,4,6.0
CaptainCavern28,1,7,6,7.0
CaptainChinaman,1,7,5,7.0
CaptainChunkMCR,1,9,8,9.0
CaptainCochran,1,6,4,6.0
CaptainCook 101,1,7,4,7.0
CaptainDahveed,2,5,4,2.5
CaptainDoge64,2,6,4,3.0
CaptainEagleEye,2,9,1,4.5
CaptainFalcon38,1,10,8,10.0
CaptainFalcone4,1,12,8,12.0
CaptainFork,1,10,4,10.0
CaptainHanz57,1,14,12,14.0
CaptainIm,1,8,6,8.0
CaptainJesus1,1,12,6,12.0
CaptainKiLLEEN1,1,3,3,3.0
CaptainNCC1701,2,19,10,9.5
CaptainPuff117,2,15,4,7.5
CaptainRemo,1,15,10,15.0
CaptainSlayer,1,4,4,4.0
CaptainTiCTaC24,1,1,1,1.0
CaptainToso,1,3,3,3.0
CaptainWalker41,1,9,5,9.0
Captainmayne,1,7,7,7.0
CaptainofCosmos,1,9,8,9.0
Captainxeaglez,1,2,2,2.0
CaptanAm3ricano,1,16,6,16.0
Captian Zeke 08,1,19,4,19.0
Captin Dangus,1,8,8,8.0
Captn Control,1,16,6,16.0
CaptnCruch27,1,16,4,16.0
CapturedCaptain,1,4,4,4.0
Capy780,1,7,5,7.0
Car264,1,6,6,6.0
CarTridgE 62,2,63,16,31.5
CaraTheMyth,1,4,4,4.0
Caracal24,1,25,13,25.0
Caragan,3,28,7,9.33
Caramon2k7,1,4,2,4.0
Carapuce,4,49,21,12.25
Caraput3,1,6,6,6.0
Carbine Carl IV,1,6,3,6.0
Carbon Skys,1,2,1,2.0
CarbonArrow45,1,1,1,1.0
Carbonnoid,2,24,7,12.0
CardboardJam2,1,13,8,13.0
CardiacColby,1,18,7,18.0
CardiacFiend33,1,7,6,7.0
CardinalSnail28,1,10,4,10.0
CardinalVortex,1,8,3,8.0
CareerHENRY,1,2,2,2.0
Carefreeleech,3,14,8,4.67
CarelessGUY,1,19,4,19.0
CaribouLucy,1,3,1,3.0
CaringPineapple,1,16,3,16.0
CaringRhino3710,1,2,2,2.0
CarlATHF,1,9,5,9.0
CarlomagnoV,1,14,5,14.0
Carlore Can,3,31,17,10.33
Carlos Clubber,1,14,8,14.0
Carlos Espinosa,1,22,14,22.0
